Algorithm,New Model
Gaussian Naive Bayes,0.560855263
SVM rbf,0.544407894
Decision Tree,0.5361842105
Random Forest,0.542763157
Adaboost,0.541118421
Bagging Classifier,0.534539473
Extra trees,0.534539473
Gradient boosting,0.5509868421
L1 Logistic Regression,0.5509868421
L2 Logistic Regression,0.554276315
Stochastic Gradient Descent,0.465460526
SVM polynomial,0.563758389
MLP Classifier,0.5509868421
